Date,log_oil_usd,log_gold_usd,log_usd_inr,log_oil_inr,log_gold_inr
1997-11-01,2.9533465570575532,5.723715812363651,3.618695695230566,6.572042252288119,9.342411507594218
1997-12-01,2.8437459165561094,5.665526629201668,3.673765816303888,6.517511732859997,9.339292445505556
1998-01-01,2.7206373166076814,5.666772649022301,3.673537363814666,6.394174680422347,9.340310012836966
1998-02-01,2.644044871126298,5.695380610975362,3.6637641897188726,6.3078090608451705,9.359144800694235
1998-03-01,2.5726122302071057,5.690156731074389,3.6780358744327937,6.250648104639899,9.368192605507183
1998-04-01,2.604909442182697,5.731040898427028,3.681424232884222,6.286333675066919,9.412465131311249
1998-05-01,2.664446563620078,5.700777965635902,3.700528835811913,6.364975399431991,9.401306801447815
1998-06-01,2.502255288122613,5.677849092629697,3.746365036650592,6.2486203247732055,9.424214129280289
1998-07-01,2.4915511925066687,5.679728824552481,3.7521312102243725,6.243682402731041,9.431860034776854
1998-08-01,2.477378383367209,5.649361487114312,3.757539937032594,6.234918320399803,9.406901424146907
1998-09-01,2.590767040487478,5.666357481565465,3.7513611739852304,6.342128214472708,9.417718655550695
1998-10-01,2.5416019934645457,5.6901229398702355,3.7470139192385927,6.288615912703138,9.43713685910883
1998-11-01,2.401525040848949,5.683987847328021,3.7478179493351838,6.149342990184133,9.431805796663205
1998-12-01,2.2844211223663744,5.675657310930353,3.751640615432912,6.036061737799287,9.427297926363265
1999-01-01,2.4078456036515385,5.659760922561871,3.750569390634046,6.158414994285585,9.410330313195917
1999-02-01,2.329227023940467,5.660631381000218,3.750247329061083,6.07947435300155,9.4108787100613
1999-03-01,2.5265283244788197,5.655851940898651,3.749882827724266,6.276411152203085,9.405734768622917
1999-04-01,2.727199019940971,5.6441032391546,3.7564633334374675,6.483662353378438,9.400566572592068
1999-05-01,2.7232671669070703,5.621993799223193,3.757915657995359,6.4811828249024295,9.379909457218552
1999-06-01,2.7638002162067017,5.565707441981806,3.7661344335274576,6.52993464973416,9.331841875509264
1999-07-01,2.9486406660201405,5.545489895661608,3.769461247224035,6.718101913244175,9.314951142885642
1999-08-01,3.006672213592325,5.5478691311385475,3.7728344986073883,6.779506712199714,9.320703629745935
1999-09-01,3.11529150861163,5.578748212285625,3.7750135714237896,6.89030508003542,9.353761783709414
1999-10-01,3.091042453358316,5.73889218510296,3.7739739951467866,6.865016448505102,9.512866180249747
1999-11-01,3.201933104137889,5.680786754861885,3.771794954441244,6.973728058579133,9.452581709303129
1999-12-01,3.2375012889913655,5.645694216880635,3.7733102125031834,7.010811501494549,9.419004429383818
2000-01-01,3.23907053215372,5.650100364406341,3.7748162956637525,7.013886827817473,9.424916660070094
2000-02-01,3.3243163373261977,5.703315699066757,3.776294916116886,7.100611253443084,9.479610615183644
2000-03-01,3.3138223021771545,5.657354518275788,3.775935205119025,7.089757507296179,9.433289723394813
2000-04-01,3.1250046092581303,5.633681846976712,3.7769979263807065,6.902002535638837,9.410679773357419
2000-05-01,3.3228754148866853,5.617461768189674,3.785913147814535,7.10878856270122,9.403374916004209
2000-06-01,3.3945083935113587,5.655047308974325,3.801326054069447,7.195834447580806,9.456373363043772
2000-07-01,3.3562000157314196,5.640452112289707,3.8031117489000414,7.159311764631461,9.443563861189748
2000-08-01,3.407841924380824,5.614841965359553,3.823600451378196,7.23144237575902,9.43844241673775
2000-09-01,3.500741011998417,5.611959540669349,3.827945502236934,7.328686514235351,9.439905042906283
2000-10-01,3.4326960487215263,5.598421958998375,3.837842415253184,7.27053846397471,9.436264374251559
2000-11-01,3.482777368654578,5.583533902060025,3.8463403633671045,7.3291177320216825,9.429874265427129
2000-12-01,3.2449333591874905,5.60377796035146,3.845551951484704,7.090485310672195,9.449329911836164
2001-01-01,3.2433732964685884,5.5815771751892305,3.841896634630649,7.085269931099237,9.42347380981988
2001-02-01,3.3141860046725258,5.567848197415368,3.840776167093913,7.154962171766439,9.408624364509281
2001-03-01,3.1986731175506815,5.572268094113519,3.8427415208678766,7.041414638418558,9.415009614981395
2001-04-01,3.2449333591874905,5.562526082814175,3.845639583507211,7.090572942694702,9.408165666321386
2001-05-01,3.343215099123808,5.607124720614766,3.849025696013404,7.192240795137212,9.45615041662817
2001-06-01,3.326832966373293,5.599273448230355,3.851049322697038,7.177882289070331,9.450322770927393
2001-07-01,3.2031528644029645,5.589231709580483,3.8539298018672197,7.057082666270184,9.443161511447702
2001-08-01,3.2457124788217606,5.607234862881972,3.853683894840035,7.099396373661795,9.460918757722007
2001-09-01,3.2433732964685884,5.646929896396724,3.8660021033106142,7.109375399779203,9.51293199970734
2001-10-01,3.0223742045004123,5.645658889305693,3.8722712713081844,6.894645475808597,9.517930160613878
2001-11-01,2.9338568698359038,5.620980407895063,3.8720964432220235,6.805953313057927,9.493076851117086
2001-12-01,2.9290581402859983,5.61985723971844,3.8698354956828616,6.79889363596886,9.489692735401302
2002-01-01,2.966303462863179,5.640167970927469,3.878534471897003,6.844837934760182,9.518702442824472
2002-02-01,3.0096351787229825,5.688668836846153,3.886023939799529,6.895659118522512,9.574692776645682
2002-03-01,3.1654750481410856,5.683783828149511,3.887047702884735,7.05252275102582,9.570831531034246
2002-04-01,3.2476576262936527,5.7126761418263206,3.890566451148467,7.13822407744212,9.603242592974787
2002-05-01,3.232778730037192,5.750952279132591,3.8921630964914047,7.124941826528596,9.643115375623996
2002-06-01,3.1813816204406202,5.772001713633345,3.8914937141756534,7.072875334616273,9.663495427808998
2002-07-01,3.2480462021679806,5.747129279159567,3.8874782319090406,7.135524434077021,9.634607511068607
2002-08-01,3.2827891506118534,5.737410655636185,3.8839321252616203,7.166721275873474,9.621342780897805
2002-09-01,3.3463891451671604,5.765629877982281,3.8807903029970476,7.2271794481642075,9.646420180979328
2002-10-01,3.315639493300509,5.757512797077169,3.879255982345239,7.1948954756457475,9.636768779422408
2002-11-01,3.1921210875593813,5.765410514449022,3.8771271665092413,7.069248254068622,9.642537680958263
2002-12-01,3.3439213138424253,5.804893976024612,3.8743107539742265,7.218232067816651,9.679204729998839
2003-01-01,3.4397768636296306,5.877340745779999,3.8703068612752274,7.310083724904858,9.747647607055226
2003-02-01,3.489513462710723,5.883238819536881,3.86592461518249,7.355438077893213,9.749163434719371
2003-03-01,3.421326752957321,5.830561957687327,3.8644428089524783,7.2857695619098,9.695004766639805
2003-04-01,3.2188758248682006,5.793562238347004,3.8584302271475495,7.07730605201575,9.651992465494553
2003-05-01,3.2526973733437115,5.874039884728224,3.85248529271195,7.105182666055661,9.726525177440173
2003-06-01,3.3196257279683437,5.87591900639179,3.8437334579794196,7.163359185947764,9.71965246437121
2003-07-01,3.3446270301737613,5.860843201899544,3.8334126048462345,7.178039635019996,9.69425580674578
2003-08-01,3.3975239762958465,5.885459379262133,3.8276778889865226,7.2252018652823695,9.713137268248655
2003-09-01,3.299902663510574,5.937391075818175,3.8253032222845347,7.125205885795109,9.76269429810271
2003-10-01,3.3881121421135,5.937325101007334,3.815591397057793,7.2037035391712925,9.752916498065126
2003-11-01,3.3586377672433594,5.9659159432616065,3.8189072161867568,7.177544983430116,9.784823159448363
2003-12-01,3.39484390768998,6.00869769965889,3.819339572701061,7.214183480391041,9.82803727235995
2004-01-01,3.4429789156771102,6.025353765374274,3.816744825111832,7.259723740788942,9.842098590486106
2004-02-01,3.4294608469350147,6.003585787158392,3.8127019929773507,7.242162839912366,9.816287780135744
2004-03-01,3.515418525752178,6.007994668730988,3.8059800347286212,7.3213985604808,9.813974703459609
2004-04-01,3.5142284036242013,5.99958151520993,3.7817275144791482,7.29595591810335,9.781309029689078
2004-05-01,3.6262058595858777,5.950066866078709,3.8105549044856635,7.436760764071541,9.760621770564372
2004-06-01,3.560477739309412,5.972212917984425,3.817771664855658,7.378249404165071,9.789984582840082
2004-07-01,3.643358938812127,5.9866806223656415,3.829851533543018,7.473210472355145,9.816532155908659
2004-08-01,3.755135249891002,5.992738734985712,3.8356170102255205,7.590752260116522,9.828355745211233
2004-09-01,3.765840495250065,6.004565849027637,3.8298319917969623,7.595672487047027,9.834397840824598
2004-10-01,3.907613296939446,6.0413588633818245,3.822874801594758,7.730488098534204,9.864233664976583
2004-11-01,3.763754988759043,6.085353262564929,3.8073844513155763,7.57113944007462,9.892737713880505
2004-12-01,3.6788291182604347,6.091488599138527,3.7807063014264646,7.459535419686899,9.872194900564992
2005-01-01,3.795713883027763,6.049804207445942,3.775401127885182,7.571115010912945,9.825205335331123
2005-02-01,3.8172726688823353,6.048199260088286,3.774501950388447,7.591774619270782,9.822701210476733
2005-03-01,3.9721769282478934,6.0726988522394985,3.774738292185676,7.746915220433569,9.847437144425175
2005-04-01,3.948933359448243,6.0619998950329315,3.776017698055614,7.724951057503857,9.838017593088546
2005-05-01,3.884651808632014,6.044704320874816,3.770678311161778,7.655330119793792,9.815382632036593
2005-06-01,3.9954446135672184,6.065311949602092,3.773323997937494,7.768768611504712,9.838635947539586
2005-07-01,4.052132713412791,6.050862534563058,3.771242544539059,7.8233752579518505,9.822105079102117
